"SNo","InstituteType","InstituteName","Branch","Class","Gender","Category","MPDomicile","OpeningRank","ClosingRank"
1,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","OP","UR","AI",8845,21333
2,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","OP","UR","Y",7861,26641
3,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","OP","EWS","Y",14586,27133
4,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","X","OP","UR","AI",22584,29747
5,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","F","UR","Y",8879,32378
6,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","X","OP","EWS","Y",27578,32558
7,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","OP","OBC","Y",15970,34035
8,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","X","OP","UR","Y",26851,35507
9,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","X","OP","UR","AI",32304,37666
10,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","X","F","UR","Y",32452,37932
11,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","M","UR","N",38346,38346
12,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","S","OP","UR","Y",38496,39344
13,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","IT","X","OP","OBC","Y",34182,41270
14,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","CSE","X","F","OBC","Y",21988,41714
15,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","X","OP","EWS","Y",34937,44510
16,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","X","OP","UR","Y",23910,46847
17,"Government Aided","Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)","Electronics and Telecommunications","X","F","UR","Y",32600,47182
